Title,Description,Priority,Estimate,Labels,Project,Epic,Dependencies,AcceptanceCriteria
"DATA-101 Event Taxonomy v1 + Tracking Spec","Define product-wide event taxonomy with required payload fields, naming conventions, and ownership.",1,3,"area:data, type:feature","8-Week Growth Roadmap","EPIC: Data & Observability Foundation (Week 1)","","Event catalog includes at least 25 events with definitions and owners."
"DATA-102 Client Tracking SDK Integration","Implement client tracking utility and wire Home/Details/Read/Pricing events with user/session context.",1,5,"area:data, type:feature","8-Week Growth Roadmap","EPIC: Data & Observability Foundation (Week 1)","DATA-101","Core flow event coverage exceeds 95%."
"DATA-103 Analytics Ingestion + Storage","Build ingestion endpoint with schema validation and reliable analytics storage.",1,5,"area:data, type:tech","8-Week Growth Roadmap","EPIC: Data & Observability Foundation (Week 1)","DATA-101|DATA-102","Invalid payloads are rejected and logged; valid events are persisted."
"DATA-104 KPI Dashboard v1 (Internal)","Create internal KPI dashboard for DAU, WAU, D1, and key funnel metrics with daily refresh.",1,3,"area:data, type:feature","8-Week Growth Roadmap","EPIC: Data & Observability Foundation (Week 1)","DATA-103","Team can view daily KPI metrics in one dashboard."
"CRE-201 Writer Landing + Apply Flow","Launch writer landing and application flow with submission status.",2,3,"area:creator, type:feature","8-Week Growth Roadmap","EPIC: Creator Onboarding & Publishing Core (Week 2)","","Applicants can submit and track application status."
"CRE-202 Story Creation Wizard v2","Simplify first story creation flow with required validation and category presets.",1,5,"area:creator, type:feature","8-Week Growth Roadmap","EPIC: Creator Onboarding & Publishing Core (Week 2)","","New writer can publish first story within 15 minutes."
"CRE-203 Chapter Autosave + Recovery","Add autosave and draft recovery to prevent content loss.",1,5,"area:creator, type:feature","8-Week Growth Roadmap","EPIC: Creator Onboarding & Publishing Core (Week 2)","CRE-202","Writer can recover recent draft after tab/browser interruption."
"CRE-204 Publish Workflow Hardening","Harden draft/publish workflow with state guards and clear failure handling.",1,3,"area:creator, type:tech","8-Week Growth Roadmap","EPIC: Creator Onboarding & Publishing Core (Week 2)","CRE-202","Published content appears to readers immediately with correct status."
"READ-301 Home Rails: New/Popular/Trending","Create three reader rails with robust loading/empty states and cache.",1,5,"area:reader, type:feature","8-Week Growth Roadmap","EPIC: Reader Discovery Core (Week 3)","DATA-104","Home shows all rails reliably even when one rail is empty."
"READ-302 Ranking Service v1","Implement ranking score using views, likes, and recency with refresh job.",2,5,"area:reader, type:tech","8-Week Growth Roadmap","EPIC: Reader Discovery Core (Week 3)","DATA-103","Ranking updates daily and aligns with scoring formula."
"READ-303 Search + Filter","Ship search and filters for category, completion status, and length.",1,5,"area:reader, type:feature","8-Week Growth Roadmap","EPIC: Reader Discovery Core (Week 3)","READ-301|READ-302","Filtered results match selected criteria and URL state is shareable."
"READ-304 Pagination/Infinite Load","Add cursor pagination and infinite loading with duplicate guards.",2,3,"area:reader, type:tech","8-Week Growth Roadmap","EPIC: Reader Discovery Core (Week 3)","READ-303","Large lists load smoothly with no duplicate records."
"LOOP-401 Follow Author/Story Data Model","Add follow schema with uniqueness constraints and migration.",1,3,"area:reader, type:tech","8-Week Growth Roadmap","EPIC: Follow & Notification Loop (Week 4)","","Repeated follow actions do not create duplicate rows."
"LOOP-402 Follow/Unfollow UI + API","Implement follow/unfollow actions with optimistic updates and auth guards.",1,5,"area:reader, type:feature","8-Week Growth Roadmap","EPIC: Follow & Notification Loop (Week 4)","LOOP-401","UI and DB follow state stay synchronized."
"LOOP-403 In-app Notification Center v1","Build in-app notification inbox with unread counters and mark-as-read.",2,5,"area:reader, type:feature","8-Week Growth Roadmap","EPIC: Follow & Notification Loop (Week 4)","LOOP-404","Users can view and mark notifications as read."
"LOOP-404 New Chapter Notification Trigger","Trigger fanout notifications to followers on chapter publish with retries.",1,3,"area:reader, type:tech","8-Week Growth Roadmap","EPIC: Follow & Notification Loop (Week 4)","LOOP-401|LOOP-402","Followers receive new chapter notifications consistently."
"WRT-501 Writer Metrics Pipeline","Build daily rollups for writer/story/chapter metrics with consistency checks.",2,5,"area:creator, type:tech","8-Week Growth Roadmap","EPIC: Writer Analytics & Retention Tools (Week 5)","DATA-103","Aggregated metrics match raw source data."
"WRT-502 Writer Dashboard v2","Deliver writer dashboard with overview cards, trends, and top stories.",2,5,"area:creator, type:feature","8-Week Growth Roadmap","EPIC: Writer Analytics & Retention Tools (Week 5)","WRT-501","Writers can see weekly and monthly performance quickly."
"WRT-503 Episode Performance Page","Add per-episode performance page with comparisons and date ranges.",2,3,"area:creator, type:feature","8-Week Growth Roadmap","EPIC: Writer Analytics & Retention Tools (Week 5)","WRT-501","Writers can identify top and underperforming episodes."
"WRT-504 Actionable Insight Widget","Show rule-based, data-driven suggestions for publish cadence and content improvement.",3,3,"area:creator, type:feature","8-Week Growth Roadmap","EPIC: Writer Analytics & Retention Tools (Week 5)","WRT-502|WRT-503","At least three actionable insight types are visible from real data."
"MOD-601 Report Content/Comment Flow","Enable content/comment reporting with reason taxonomy and anti-spam guardrails.",1,3,"area:trust, type:feature","8-Week Growth Roadmap","EPIC: Trust, Safety, Moderation (Week 6)","","Reports include enough context for moderation action."
"MOD-602 Admin Moderation Queue","Build admin moderation queue with filters, assignee, and case status.",1,5,"area:trust, type:feature","8-Week Growth Roadmap","EPIC: Trust, Safety, Moderation (Week 6)","MOD-601","Moderators can triage and close cases efficiently."
"MOD-603 Moderation Actions + Audit Log","Add hide/unpublish/warn actions and immutable audit trail.",1,5,"area:trust, type:tech","8-Week Growth Roadmap","EPIC: Trust, Safety, Moderation (Week 6)","MOD-602","Every moderation action is fully traceable by actor, time, and reason."
"MOD-604 SLA + Alert for Reports","Add SLA timers and overdue alerts for moderation tickets.",2,2,"area:trust, type:ops","8-Week Growth Roadmap","EPIC: Trust, Safety, Moderation (Week 6)","MOD-602","Overdue reports generate alerts automatically."
"PAY-701 Premium Chapter Lock/Unlock","Implement premium chapter paywall and unlock flow via coins.",1,5,"area:monetization, type:feature","8-Week Growth Roadmap","EPIC: Monetization MVP (Week 7)","PAY-703","Unlocked chapters are accessible immediately in all sessions."
"PAY-702 Wallet Ledger + History UI","Implement wallet ledger and transaction history with strict balance consistency.",1,5,"area:monetization, type:feature","8-Week Growth Roadmap","EPIC: Monetization MVP (Week 7)","PAY-703","Displayed balance always equals ledger sum."
"PAY-703 Checkout-Webhooks Reconciliation","Implement idempotent checkout/webhook handling with reconciliation jobs.",1,5,"area:monetization, type:tech","8-Week Growth Roadmap","EPIC: Monetization MVP (Week 7)","","Wallet credits reconcile with payments above 98% accuracy."
"PAY-704 Creator Revenue Share Ledger v1","Build revenue-share ledger and statement export for creators.",2,3,"area:monetization, type:feature","8-Week Growth Roadmap","EPIC: Monetization MVP (Week 7)","PAY-702","Statements are generated and auditable per payout cycle."
"OPT-801 A/B Test Framework (Home CTA)","Ship lightweight experiment framework for Home CTA with exposure/result tracking.",2,3,"type:tech, area:reader","8-Week Growth Roadmap","EPIC: Optimization & Launch Readiness (Week 8)","DATA-102|DATA-104","At least one CTA experiment can run end-to-end."
"OPT-802 Performance Pass (Home/Read)","Optimize Home and Read performance through query, loading, and bundle improvements.",1,5,"type:tech, area:reader","8-Week Growth Roadmap","EPIC: Optimization & Launch Readiness (Week 8)","READ-301|READ-304","LCP and TTFB improve against agreed baseline."
"OPT-803 Weekly Content Campaign Toolkit","Build campaign toolkit for weekly editorial pushes without core code changes.",2,3,"type:feature, area:creator","8-Week Growth Roadmap","EPIC: Optimization & Launch Readiness (Week 8)","READ-301","Team can launch a weekly campaign using config only."
"OPT-804 Launch Checklist + Runbook","Document deployment checklist, rollback SOP, and incident escalation runbook.",1,2,"type:ops","8-Week Growth Roadmap","EPIC: Optimization & Launch Readiness (Week 8)","","Team passes deployment and rollback dry run using runbook."
